seq_id	sample	species	gene	geneLength
EBIIEENH_00110	BetaCoV/Munich/BavPat11-ChVir1459/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_00110	365
NMICGJMG_00313	hCoV-19/Wuhan/WIV02/2019	WUHAN	Spike glycoprotein	3821
EBIIEENH_00704	BetaCoV/Berlin/MD572007047/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00704	155
ODOLMAEB_00467	GU190215	BAT	Replicase polyprotein 1a	13121
ODOLMAEB_01502	MN611518	BAT	hypothetical protein	224
ODOLMAEB_02242	MG693170	BAT	Corona_FSE	84
ODOLMAEB_02204	MF094687	BAT	Membrane protein	686
ODOLMAEB_00063	DQ412042	BAT	hypothetical protein	368
EBIIEENH_01021	BetaCoV/Germany/ChVir2127/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_01021	3821
ODOLMAEB_01695	MH687944	BAT	Corona_pk3	62
ODOLMAEB_01028	KY417148	BAT	Envelope small membrane protein	230
ODOLMAEB_00425	GQ153545	BAT	hypothetical protein	365
ODOLMAEB_02322	KC869678	BAT	Corona_FSE	84
ODOLMAEB_00454	GQ153548	BAT	Replicase polyprotein 1a	13103
NMICGJMG_00373	hCoV-19/Wuhan/HBCDC-HB-01/2019	WUHAN	hypothetical protein	155
ODOLMAEB_02205	MF094687	BAT	Nucleoprotein	1127
ODOLMAEB_02352	KF569996	BAT	Protein 7a	368
ODOLMAEB_01163	KY938558	BAT	hypothetical protein	146
ODOLMAEB_00312	EU420138	BAT	Membrane protein	767
ODOLMAEB_02269	MG693172	BAT	hypothetical protein	551
ODOLMAEB_01487	MN065811	BAT	hypothetical protein	374
EBIIEENH_00231	BetaCoV/Rhein-Kreis-Neuss/ChVir1671/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00231	827
ODOLMAEB_02364	KY352407	BAT	Nucleoprotein	1259
ODOLMAEB_00805	KP886808	BAT	s2m	42
NMICGJMG_00512	hCoV-19/Wuhan/HBCDC-HB-04/2019	WUHAN	Nucleoprotein	1259
ODOLMAEB_00286	EF203067	BAT	Replicase polyprotein 1a	12179
ODOLMAEB_01607	MH687935	BAT	Membrane protein	683
ODOLMAEB_02140	KJ473811	BAT	Spike glycoprotein	3710
ODOLMAEB_00166	EF065509	BAT	Non-structural protein ORF4b	659
EBIIEENH_01307	BetaCoV/Germany/ChVir3202/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01307	155
ODOLMAEB_00909	KY073744	BAT	Corona_pk3	62
ODOLMAEB_00396	GQ153543	BAT	Membrane protein	665
ODOLMAEB_01124	KY770859	BAT	Protein 3a	824
ODOLMAEB_00128	EF065506	BAT	Corona_FSE	84
ODOLMAEB_01947	KJ473808	BAT	Corona_FSE	78
ODOLMAEB_00294	EF203067	BAT	hypothetical protein	299
ODOLMAEB_01513	MN611519	BAT	Non-structural protein ORF4b	701
EBIIEENH_01458	BetaCoV/Berlin/572006643/2020	CHAIRITE	s2m	42
EBIIEENH_00611	BetaCoV/Berlin/MD572006634/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00611	365
ODOLMAEB_00078	DQ412043	BAT	s2m	42
EBIIEENH_01472	EPI_ISL_412912|Europe-Germany-Baden-Wuerttemberg-unknown|2020-02-25	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_01472	13217
ODOLMAEB_01076	KY417151	BAT	s2m	42
EBIIEENH_01376	BetaCoV/Germany/ChVir3218/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_01376	827
EBIIEENH_00666	BetaCoV/Berlin/MD572006901a/2020	CHAIRITE	s2m	42
ODOLMAEB_02059	MK211370	BAT	Corona_FSE	78
ODOLMAEB_01196	MF370205	BAT	Nucleoprotein	1127
ODOLMAEB_00216	EF065513	BAT	hypothetical protein	557
ODOLMAEB_01736	MH687949	BAT	hypothetical protein	494
EBIIEENH_00255	BetaCoV/Rhein-Kreis-Neuss/MD572006610/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_00255	7787
NMICGJMG_00064	GWHACAT01000001	WUHAN	hypothetical protein	155
EBIIEENH_00940	BetaCoV/Germany/ChVir2114/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00940	13217
NMICGJMG_00497	hCoV-19/Wuhan/HBCDC-HB-03/2019	WUHAN	Nucleoprotein	1259
EBIIEENH_00249	BetaCoV/Rhein-Kreis-Neuss/ChVir1722/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00249	365
EBIIEENH_00525	BetaCoV/Lauben/ChVir1980/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_00490	HM211098	BAT	Corona_FSE	84
NMICGJMG_00130	GWHACAZ01000001	WUHAN	Replicase polyprotein 1a	13217
NMICGJMG_00235	GWHACDI01000001	WUHAN	Spike glycoprotein	3821
ODOLMAEB_01406	MH938448	BAT	Corona_FSE	78
ODOLMAEB_00632	JX993987	BAT	Envelope small membrane protein	230
NMICGJMG_00509	hCoV-19/Wuhan/HBCDC-HB-04/2019	WUHAN	Protein 7a	365
ODOLMAEB_00348	GQ153539	BAT	hypothetical protein	365
ODOLMAEB_01670	MH687942	BAT	Spike glycoprotein	4106
ODOLMAEB_01828	MH687960	BAT	hypothetical protein	674
NMICGJMG_00072	GWHACAU01000001	WUHAN	hypothetical protein	185
NMICGJMG_00437	hCoV-19/Wuhan/WHU01/2020	WUHAN	Nucleoprotein	1259
ODOLMAEB_02119	KT444582	BAT	Protein 7a	368
ODOLMAEB_02008	MK211376	BAT	s2m	42
EBIIEENH_00226	BetaCoV/Rhein-Kreis-Neuss/ChVir1639/2020	CHAIRITE	s2m	42
ODOLMAEB_01800	MH687957	BAT	hypothetical protein	674
NMICGJMG_00336	hCoV-19/Wuhan/WIV06/2019	WUHAN	Replicase polyprotein 1a	13217
EBIIEENH_01254	BetaCoV/Germany/ChVir3196/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01254	131
EBIIEENH_00435	BetaCoV/Berlin/ChVir1960/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00435	13217
ODOLMAEB_00577	JQ989269	BAT	hypothetical protein	461
ODOLMAEB_00862	KU973692	BAT	hypothetical protein	134
NMICGJMG_00233	GWHACDI01000001	WUHAN	Corona_FSE	81
CGIJCJNJ_00089	MT084071.1	PANGOLIN	Protein 3a	458
ODOLMAEB_01688	MH687944	BAT	Corona_FSE	78
EBIIEENH_00786	BetaCoV/Berlin/MD572007101a/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_00786	7787
EBIIEENH_00814	BetaCoV/Rotenburg/ChVir2026/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00814	827
ODOLMAEB_00905	KY073744	BAT	Membrane protein	692
ODOLMAEB_01218	MG596803	BAT	Envelope small membrane protein	248
ODOLMAEB_00012	DQ022305	BAT	Nucleoprotein	1265
ODOLMAEB_00705	KF636752	BAT	hypothetical protein	737
NMICGJMG_00480	hCoV-19/Wuhan/HBCDC-HB-02/2019	WUHAN	hypothetical protein	185
ODOLMAEB_00099	DQ648856	BAT	hypothetical protein	134
ODOLMAEB_00808	KP886809	BAT	Replicase polyprotein 1ab	7886
ODOLMAEB_00266	EF203065	BAT	Replicase polyprotein 1ab	7838
EBIIEENH_00998	BetaCoV/Germany/ChVir2123/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00998	185
ODOLMAEB_00501	HM211099	BAT	Corona_FSE	84
ODOLMAEB_01499	MN611518	BAT	Replicase polyprotein 1ab	7829
EBIIEENH_01236	BetaCoV/Germany/ChVir3194/2020	CHAIRITE	Corona_FSE	81
EBIIEENH_00257	BetaCoV/Rhein-Kreis-Neuss/MD572006610/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00257	827
NMICGJMG_00329	hCoV-19/Wuhan/WIV05/2019	WUHAN	hypothetical protein	185
NMICGJMG_00358	hCoV-19/Wuhan/WIV07/2019	WUHAN	hypothetical protein	365
ODOLMAEB_01987	MK211375	BAT	Envelope small membrane protein	230
ODOLMAEB_00820	KU182964	BAT	Corona_FSE	81
ODOLMAEB_01669	MH687942	BAT	Replicase polyprotein 1ab	7838
ODOLMAEB_01456	MK720945	BAT	Corona_FSE	78
NMICGJMG_00287	hCoV-19/Wuhan/IVDC-HB-05/2019	WUHAN	Spike glycoprotein	3821
ODOLMAEB_02260	MG693168	BAT	hypothetical protein	551
EBIIEENH_00805	BetaCoV/Berlin/MD572007101/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00805	131
EBIIEENH_00477	BetaCoV/Germany/ChVir1967/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00477	3821
EBIIEENH_01290	BetaCoV/Germany/ChVir3201/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01290	185
EBIIEENH_01108	BetaCoV/Berlin/572007091/2020	CHAIRITE	s2m	42
EBIIEENH_01201	BetaCoV/Germany/ChVir3187/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_01201	3821
ODOLMAEB_00782	KJ473820	BAT	Corona_pk3	59
EBIIEENH_00389	BetaCov/Koblenz/ChVir1908/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00389	185
ODOLMAEB_00723	KJ473796	BAT	hypothetical protein	659
ODOLMAEB_02002	MK211376	BAT	hypothetical protein	191
EBIIEENH_00834	BetaCoV/Bremerhaven/ChVir2027/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00834	155
NMICGJMG_00031	2019-nCoV_WH03	WUHAN	Protein 3a	827
NMICGJMG_00424	hCoV-19/Wuhan/IPBCAMS-WH-02/2019	WUHAN	Nucleoprotein	1259
EBIIEENH_01147	BetaCoV/Berlin/2011915/2020	CHAIRITE	Corona_FSE	81
CGIJCJNJ_00015	MT040334	PANGOLIN	Replicase polyprotein 1ab	7787
ODOLMAEB_01571	MN611525	BAT	Replicase polyprotein 1ab	7832
EBIIEENH_00593	BetaCoV/Berlin/ChVir2192/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00593	827
ODOLMAEB_00377	GQ153542	BAT	Replicase polyprotein 1a	13142
ODOLMAEB_02340	KF294457	BAT	Protein 7a	368
ODOLMAEB_00684	KF367457	BAT	hypothetical protein	293
NMICGJMG_00476	hCoV-19/Wuhan/HBCDC-HB-02/2019	WUHAN	Replicase polyprotein 1ab	7787
ODOLMAEB_00974	KY417144	BAT	Protein 3a	824
EBIIEENH_01390	BetaCoV/Germany/ChVir3219/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_01390	668
NMICGJMG_00224	GWHACDH01000001	WUHAN	Membrane protein	668
ODOLMAEB_00719	KJ473796	BAT	hypothetical protein	12803
ODOLMAEB_01473	MK720946	BAT	hypothetical protein	359
ODOLMAEB_00636	JX993987	BAT	hypothetical protein	134
NMICGJMG_00516	hCoV-19/Wuhan/HBCDC-HB-02/2020	WUHAN	Corona_FSE	81
ODOLMAEB_00502	HM211099	BAT	Replicase polyprotein 1ab	7718
EBIIEENH_00046	BetaCoV/Munich/BavPat6-ChVir1247/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00046	185
EBIIEENH_00331	BetaCoV/Berlin/ChVir1716/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00331	13217
EBIIEENH_00405	BetaCoV/Berlin/ChVir1919/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00405	365
ODOLMAEB_02296	KT253270	BAT	hypothetical protein	680
EBIIEENH_00731	BetaCoV/Berlin/MD572007356/2020	CHAIRITE	s2m	42
ODOLMAEB_00765	KJ473800	BAT	hypothetical protein	668
ODOLMAEB_00054	DQ412042	BAT	Corona_FSE	81
ODOLMAEB_01928	KJ473809	BAT	Corona_pk3	63
ODOLMAEB_00104	DQ648857	BAT	Corona_FSE	81
ODOLMAEB_00289	EF203067	BAT	hypothetical protein	3386
EBIIEENH_00103	BetaCoV/Munich/BavPat11-ChVir1459/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00103	13217
EBIIEENH_00412	BetaCoV/Rhein-Neckar-Kreis/ChVir1946/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00412	3821
EBIIEENH_00158	BetaCoV/Munich/BavPat16-ChVir1530/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00158	185
ODOLMAEB_01826	MH687960	BAT	hypothetical protein	7139
EBIIEENH_00563	BetaCoV/Germany/ChVir1994/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00563	13217
EBIIEENH_01339	BetaCoV/Germany/ChVir3211/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_01339	827
EBIIEENH_00839	BetaCoV/Bremerhaven/ChVir2097/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00839	3821
ODOLMAEB_01419	MH938449	BAT	Spike glycoprotein	4199
ODOLMAEB_00899	KY073744	BAT	Replicase polyprotein 1a	12260
ODOLMAEB_00432	GQ153546	BAT	Protein 3a	824
ODOLMAEB_00847	KU762338	BAT	hypothetical protein	230
ODOLMAEB_02050	MK211369	BAT	Replicase polyprotein 1ab	7829
ODOLMAEB_01865	MH687964	BAT	Spike glycoprotein	4115
NMICGJMG_00206	GWHACDG01000001	WUHAN	Replicase polyprotein 1a	13217
EBIIEENH_01139	BetaCoV/Germany/2012320/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01139	185
CGIJCJNJ_00019	MT040334	PANGOLIN	Membrane protein	668
ODOLMAEB_00720	KJ473796	BAT	Corona_FSE	78
ODOLMAEB_01803	MH687957	BAT	Nucleoprotein	1178
EBIIEENH_01194	BetaCoV/Germany/CSpecVir3185/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01194	365
ODOLMAEB_00700	KF636752	BAT	hypothetical protein	13643
ODOLMAEB_01660	MH687941	BAT	Corona_FSE	78
ODOLMAEB_01362	MH002341	BAT	hypothetical protein	311
NMICGJMG_00063	GWHACAT01000001	WUHAN	Nucleoprotein	1259
ODOLMAEB_00715	KJ473795	BAT	hypothetical protein	224
EBIIEENH_00719	BetaCoV/Berlin/MD572007356/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00719	13217
ODOLMAEB_01404	MH938448	BAT	Coronavirus_5p_sl_1_2	68
ODOLMAEB_01389	MH539766	BAT	Membrane protein	686
ODOLMAEB_01864	MH687964	BAT	Replicase polyprotein 1ab	7829
ODOLMAEB_00185	EF065511	BAT	Corona_FSE	84
ODOLMAEB_00692	KF430219	BAT	Replicase polyprotein 1ab	7829
ODOLMAEB_00626	JQ989273	BAT	Corona_pk3	62
ODOLMAEB_00749	KJ473799	BAT	Coronavirus_5p_sl_1_2	68
NMICGJMG_00231	GWHACDH01000001	WUHAN	s2m	42
ODOLMAEB_02245	MG693170	BAT	hypothetical protein	662
EBIIEENH_00956	BetaCoV/Germany/ChVir2117/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00956	3821
EBIIEENH_01315	BetaCoV/Germany/ChVir3203/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01315	185
EBIIEENH_01276	BetaCoV/Germany/ChVir3200/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_01276	668
EBIIEENH_00760	BetaCoV/Berlin/MD572007095a/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_00760	7787
NMICGJMG_00506	hCoV-19/Wuhan/HBCDC-HB-04/2019	WUHAN	Protein 3a	827
ODOLMAEB_00690	KF430219	BAT	Replicase polyprotein 1a	12482
EBIIEENH_01309	BetaCoV/Germany/ChVir3203/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_01309	13217
ODOLMAEB_01602	MH687935	BAT	Corona_FSE	78
ODOLMAEB_00164	EF065509	BAT	hypothetical protein	311
ODOLMAEB_01941	KJ473807	BAT	hypothetical protein	689
EBIIEENH_00902	BetaCoV/Germany/ChVir2105/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_00322	EU420139	BAT	Nucleoprotein	1268
ODOLMAEB_01508	MN611519	BAT	Corona_FSE	84
EBIIEENH_00953	BetaCoV/Germany/ChVir2117/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00953	13217
ODOLMAEB_00204	EF065512	BAT	Envelope small membrane protein	248
ODOLMAEB_02275	MG693169	BAT	hypothetical protein	716
NMICGJMG_00001	2019-nCoV_WH01	WUHAN	Replicase polyprotein 1a	13217
EBIIEENH_01373	BetaCoV/Germany/ChVir3218/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_01719	MH687948	BAT	Corona_FSE	78
CGIJCJNJ_00064	MT072864	PANGOLIN	hypothetical protein	116
ODOLMAEB_02179	KJ473814	BAT	Envelope small membrane protein	230
EBIIEENH_00420	BetaCoV/Rhein-Neckar-Kreis/ChVir1946/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00420	155
CGIJCJNJ_00047	MT040336	PANGOLIN	hypothetical protein	185
ODOLMAEB_01997	MK211376	BAT	Replicase polyprotein 1ab	7886
ODOLMAEB_00180	EF065510	BAT	Envelope small membrane protein	248
NMICGJMG_00014	2019-nCoV_WH04	WUHAN	Replicase polyprotein 1a	13217
EBIIEENH_00627	BetaCoV/Berlin/ChVir2192-MD572006634/2020	CHAIRITE	s2m	42
CGIJCJNJ_00073	MT072865.1	PANGOLIN	Replicase polyprotein 1a	1112
EBIIEENH_00047	BetaCoV/Munich/BavPat6-ChVir1247/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_00047	365
EBIIEENH_01082	BetaCoV/Kiel/CSpecVir3045/2020	CHAIRITE	s2m	42
EBIIEENH_00601	BetaCoV/Berlin/ChVir2192/2020	CHAIRITE	s2m	42
NMICGJMG_00157	GWHACBB01000001	WUHAN	Replicase polyprotein 1ab	7787
ODOLMAEB_00781	KJ473820	BAT	Nucleoprotein	1283
ODOLMAEB_02072	MK211371	BAT	hypothetical protein	674
ODOLMAEB_02073	MK211371	BAT	hypothetical protein	230
ODOLMAEB_00386	GQ153542	BAT	hypothetical protein	134
ODOLMAEB_00941	KY073748	BAT	Membrane protein	680
EBIIEENH_01249	BetaCoV/Germany/ChVir3196/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_01249	3821
NMICGJMG_00279	hCoV-19/Wuhan/IVDC-HB-04/2020	WUHAN	hypothetical protein	131
ODOLMAEB_00061	DQ412042	BAT	Protein 7a	368
CGIJCJNJ_00032	MT040335	PANGOLIN	Membrane protein	668
EBIIEENH_00850	BetaCoV/Rastede/ChVir2098/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_01819	MH687959	BAT	hypothetical protein	674
ODOLMAEB_02040	MK211379	BAT	hypothetical protein	662
ODOLMAEB_00811	KP886809	BAT	Envelope small membrane protein	230
ODOLMAEB_01596	MH687934	BAT	hypothetical protein	230
ODOLMAEB_00477	MN996532	BAT	Replicase polyprotein 1a	13214
EBIIEENH_00492	BetaCoV/Berlin/ChVir1968/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_00492	668
EBIIEENH_00582	BetaCoV/Ploen/ChVir2000/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00582	185
ODOLMAEB_00344	GQ153539	BAT	Membrane protein	665
CGIJCJNJ_00045	MT040336	PANGOLIN	Envelope small membrane protein	227
ODOLMAEB_01339	MH002339	BAT	Spike glycoprotein	4034
CGIJCJNJ_00063	MT072864	PANGOLIN	Nucleoprotein	1253
NMICGJMG_00501	hCoV-19/Wuhan/HBCDC-HB-04/2019	WUHAN	Replicase polyprotein 1a	4829
EBIIEENH_00801	BetaCoV/Berlin/MD572007101/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00801	827
NMICGJMG_00069	GWHACAU01000001	WUHAN	Spike glycoprotein	3821
EBIIEENH_00091	BetaCoV/Munich/BavPat9-ChVir1433/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00091	13217
ODOLMAEB_00151	EF065508	BAT	Replicase polyprotein 1ab	7865
NMICGJMG_00282	hCoV-19/Wuhan/IVDC-HB-04/2020	WUHAN	hypothetical protein	155
ODOLMAEB_00246	EF065516	BAT	hypothetical protein	230
ODOLMAEB_01265	MG772934	BAT	Nucleoprotein	1259
EBIIEENH_00680	BetaCoV/Berlin/MD572007047a/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00680	13217
ODOLMAEB_01977	MK211373	BAT	Membrane protein	683
EBIIEENH_00385	BetaCov/Koblenz/ChVir1908/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_00385	7787
EBIIEENH_01030	BetaCoV/Germany/ChVir2127/2020	CHAIRITE	s2m	42
ODOLMAEB_02128	KJ473812	BAT	Protein 3a	824
ODOLMAEB_00034	DQ084199	BAT	hypothetical protein	191
ODOLMAEB_00137	EF065506	BAT	Nucleoprotein	1271
EBIIEENH_00140	BetaCoV/Munich/BavPat15-ChVir1484-ChVir1536/2020	CHAIRITE	Corona_FSE	81
EBIIEENH_00598	BetaCoV/Berlin/ChVir2192/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00598	365
NMICGJMG_00460	hCoV-19/env/Wuhan/IVDC-HBF13-21/2020	WUHAN	Protein 7a	365
EBIIEENH_00298	BetaCoV/Germany/ChVir1685/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00298	185
ODOLMAEB_01581	NC_009657	BAT	Replicase polyprotein 1a	12386
ODOLMAEB_00088	DQ648794	BAT	Membrane protein	659
ODOLMAEB_01386	MH539766	BAT	hypothetical protein	3392
ODOLMAEB_01485	MN065811	BAT	Membrane protein	686
EBIIEENH_00170	BetaCoV/Karlsruhe/ChVir1600/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00170	185
ODOLMAEB_00089	DQ648794	BAT	Nucleoprotein	1274
NMICGJMG_00482	hCoV-19/Wuhan/HBCDC-HB-02/2019	WUHAN	hypothetical protein	131
ODOLMAEB_00497	HM211098	BAT	hypothetical protein	596
NMICGJMG_00494	hCoV-19/Wuhan/HBCDC-HB-03/2019	WUHAN	Protein 7a	365
ODOLMAEB_01844	MH687962	BAT	Replicase polyprotein 1ab	7829
ODOLMAEB_00793	KJ473822	BAT	Nucleoprotein	1271
EBIIEENH_00494	BetaCoV/Berlin/ChVir1968/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_00494	365
ODOLMAEB_01541	MN611522	BAT	hypothetical protein	3359
ODOLMAEB_00455	GQ153548	BAT	Corona_FSE	81
EBIIEENH_00971	BetaCoV/Germany/ChVir2118/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_00971	668
ODOLMAEB_01834	MH687961	BAT	Corona_FSE	78
ODOLMAEB_00499	HM211098	BAT	Corona_pk3	58
NMICGJMG_00280	hCoV-19/Wuhan/IVDC-HB-04/2020	WUHAN	hypothetical protein	365
EBIIEENH_01485	EPI_ISL_406862|Europe-Germany-Bavaria-Munich|2020-01-28	CHAIRITE	Corona_FSE	81
NMICGJMG_00196	GWHACDF01000001	WUHAN	Replicase polyprotein 1ab	7787
ODOLMAEB_00242	EF065516	BAT	Corona_FSE	84
ODOLMAEB_01062	KY417150	BAT	s2m	42
NMICGJMG_00228	GWHACDH01000001	WUHAN	hypothetical protein	365
ODOLMAEB_01829	MH687960	BAT	hypothetical protein	230
ODOLMAEB_02164	KJ473815	BAT	Replicase polyprotein 1ab	7886
EBIIEENH_00737	BetaCoV/Germany/MD572007081/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_00737	668
NMICGJMG_00188	GWHACDE01000001	WUHAN	Protein 7a	365
ODOLMAEB_01879	MH687965	BAT	Nucleoprotein	1184
NMICGJMG_00042	GWHABKZ01000001	WUHAN	Replicase polyprotein 1ab	7787
ODOLMAEB_01830	MH687960	BAT	Membrane protein	683
NMICGJMG_00307	hCoV-19/Wuhan/IPBCAMS-WH-01/2019	WUHAN	Nucleoprotein	1259
EBIIEENH_00960	BetaCoV/Germany/ChVir2117/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_00960	365
EBIIEENH_01356	BetaCoV/Germany/ChVir3214/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_01356	1259
EBIIEENH_00117	BetaCoV/Munich/BavPat10-ChVir1482/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_00117	7787
EBIIEENH_00562	BetaCoV/Germany/ChVir1993/2020	CHAIRITE	s2m	42
ODOLMAEB_00511	HM211100	BAT	Replicase polyprotein 1ab	12731
ODOLMAEB_00740	KJ473798	BAT	Corona_FSE	78
EBIIEENH_01494	EPI_ISL_406862|Europe-Germany-Bavaria-Munich|2020-01-28	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_01494	1259
EBIIEENH_00897	BetaCoV/Berlin/MD572006377/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00897	365
EBIIEENH_00048	BetaCoV/Munich/BavPat6-ChVir1247/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00048	131
NMICGJMG_00175	GWHACBD01000001	WUHAN	Protein 7a	365
EBIIEENH_01220	BetaCoV/Germany/ChVir3192/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01220	365
NMICGJMG_00462	hCoV-19/env/Wuhan/IVDC-HBF13-21/2020	WUHAN	hypothetical protein	365
ODOLMAEB_00214	EF065513	BAT	Membrane protein	668
EBIIEENH_00397	BetaCoV/Berlin/ChVir1919/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_00025	DQ071615	BAT	Nucleoprotein	1265
EBIIEENH_00642	BetaCoV/Germany/MD572006691/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_00368	GQ153541	BAT	Protein 3a	824
NMICGJMG_00010	2019-nCoV_WH01	WUHAN	hypothetical protein	365
ODOLMAEB_01293	MG916903	BAT	Spike glycoprotein	4058
EBIIEENH_01039	BetaCoV/Germany/ChVir3003/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01039	131
EBIIEENH_00607	BetaCoV/Berlin/MD572006634/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_00607	668
NMICGJMG_00474	hCoV-19/Wuhan/HBCDC-HB-02/2019	WUHAN	Replicase polyprotein 1a	13217
EBIIEENH_00819	BetaCoV/Rotenburg/ChVir2026/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00819	365
